DUID,Region,Participant,Station Name
VSSAE1V1,SA1,AGL South Australia Pty Limited,VPP AGLE SA 1
APD01,VIC1,Alcoa Portland Aluminium Pty Ltd,Portland
ASNAES1,NSW1,Amalgamated Energy Services Pty Ltd,AS AES NSW
ASSEL1,SA1,Energy Locals Pty Ltd,Energy Locals SA VPP
VSSEL1V1,SA1,Energy Locals Pty Ltd,VPP Energy Locals SA 1
ASQENC1,QLD1,Enel X Australia Pty Ltd ,ENOC MASP QLD
ASNENC1,NSW1,Enel X Australia Pty Ltd ,ENOC MASP NSW
VENUS1,VIC1,Enel X Australia Pty Ltd ,ENOC MASP VIC
ASSENC1,SA1,Enel X Australia Pty Ltd ,ENOC MASP SA
ASTHYD1,TAS1,Hydro-Electric Corporation,HydroTas MASP TAS
SNOWYGJP,VIC1,Snowy Hydro Limited,Jindabyne Pump At Guthega
